,name,first_competition_date,latest_competition_date,first_competition_total,latest_competition_total,performance_improvement,dots_improvement
0,Carlos Lewis,2018-10-11,2019-10-16,207.5,537.5,330,230
1,Nick Cataldi,2013-07-19,2016-10-13,442.5,730,287.5,141.53
2,GiHo Jeong,2018-10-11,2019-10-16,332.5,607.5,275,187.6
3,Ashton Rouska,2014-07-17,2023-09-14,697.5,968,270.5,113.95
4,Steven Singleton,2019-10-16,2023-09-14,435,680,245,140.17
5,Shelby Miles,2014-07-17,2022-06-08,300,537.5,237.5,176.15
6,Chance Mitchell #1,2015-10-15,2021-06-14,617.5,845,227.5,121.57
7,Charlie Yeng,2016-10-13,2023-09-14,477.5,702.5,225,123.24
8,Sean Collins,2016-10-13,2019-10-16,532.5,752.5,220,121.18
9,Eli Burks,2008-07-25,2018-10-11,655,870,215,98.82
